ID_TA,Number of Reviews
d11768645,2
d12551017,3
d11444722,1
d4833405,5
d8715545,4
d12438320,3
d10467092,1
d13154033,1
d11864713,5
d5822495,1
d753285,1
d13002134,6
d7690484,1
d12523673,8
d11621671,1
d1323406,1
d3295171,1
d12103854,3
d12141815,4
d9595693,1
d3258534,2
d13129631,1
d12219483,2
d12110249,3
d12316070,4
d5808934,2
d13198135,26
d10058519,1
d5615803,2
d10537782,2
d6786766,4
d5511124,1
d12478889,4
d12001755,5
d5518769,1
d4769088,1
d6180189,1
d7124521,2
d5848182,1
d5522937,1
d7315727,1
d13076167,1
d13072134,29
d12320440,1
d1504636,1
d7278610,1
d8341288,2
d11854535,2
d10127178,1
d12975535,6
d4998099,2
d12829445,10
d13183971,25
d10834831,1
d12940437,2
d12977991,18
d5527449,2
d11624752,2
d12194732,4
d7133658,1
d8339788,1
d10161562,1
d4262853,1
d8338577,1
d4586815,1
d12387279,121
d12786386,4
d9580170,1
d12929682,7
d12900993,3
d5823986,1
d13139834,1
d12542816,3
d5796467,1
d1111157,1
d5966152,2
d6525570,1
d6788113,1
d5956749,2
d12998325,12
d10716601,2
d12712669,5
d8673977,3
d1403890,1
d11801708,14
d991312,1
d12632862,6
d9722757,2
d958963,1
d12677184,1
d6846679,1
d13288399,73
d4723957,1
d10027294,6
d12922095,4
d3169970,1
d10831160,1
d1331543,1
d6510485,1
d9814441,1
d12861211,2
d8811394,1
d12515485,1
d1977833,1
d13302823,12
d7123209,1
d12356580,2
d1323123,1
d7021016,1
d4802168,1
d991656,1
d8552416,1
d2697780,1
d5007171,1
d8621252,1
d12849016,1
d10132426,1
d12632652,23
d7342756,1
d8686804,1
d10301906,1
d12655466,1
d7262216,1
d4875887,1
d13295201,2
d1829030,1
d8340826,1
d12192128,13
d12947402,9
d10542709,1
d11045408,1
d11905158,2
d8638476,1
d11785143,1
d12476664,2
d10354357,1
d787818,1
d4769952,1
d8281800,2
d10807908,1
d7123480,1
d13134185,34
d10374164,1
d12283455,1
d5524012,1
d7124444,1
d6506997,1
d8380873,1
d3266139,1
d4769456,1
d12999946,1
d12010133,1
d9453464,2
d10815687,1
d9745904,3
d11915795,1
d964383,1
d5984683,1
d7124092,2
d5616558,9
d5785822,1
d8340159,4
d3514427,1
d12473849,4
d12631537,6
d8660552,1
d719135,1
d12804740,14
d11802014,1
d6601390,1
d12632847,1
d7110813,1
d12686116,7
d10506872,9
d4767766,1
d1035116,1
d5851564,1
d13147164,1
d5878125,1
d753156,1
d4328803,1
d6110037,1
d10830640,1
d10170400,2
d10153813,1
d5794546,1
d12225305,1
d12543272,3
d12801498,1
d10027139,1
d4768616,1
d5799840,1
d13291104,3
d13227835,103
d13075250,2
d11996108,1
d783229,3
d12805951,2
d5505626,1
d9836714,1
d11822912,1
d7031910,2
d8600524,2
d13186462,3
d9989990,1
d7123989,1
d3354475,1
d13130630,18
d13503746,1
d12326504,1
d12556171,1
d6757866,1
d5122227,1
d10297991,2
d12674946,1
d11868237,1
d12879374,8
d12998979,5
d4589830,1
d12867101,1
d10962087,8
d10783904,3
d12954408,8
d12495891,2
d2243373,1
d730158,1
d12626584,2
d11621028,1
d12221763,1
d8074379,1
d12143734,1
d10784394,2
d7274394,1
d8438032,4
d991085,1
d11489110,1
d5795555,1
d3264639,1
d10673098,1
d1081665,1
d12667739,4
d10302223,1
d11949500,1
d7123865,2
d11664126,3
d8432775,1
d11534991,3
d6385546,1
d1330657,1
d7124216,1
d11981372,1
d988032,1
d11331369,2
d10056434,4
d5103766,1
d11236008,6
d7685971,2
d13289856,7
d5870862,2
d10460852,1
d5861809,1
d12622144,5
d742381,1
d12945633,4
d2141180,2
d12343070,3
d896961,1
d12503403,6
d5501232,1
d11641294,1
d7789644,2
d1324361,1
d1423496,1
d10247976,5
d10840231,4
d4755648,1
d12012803,1
d5617414,1
d1152116,1
d10746617,1
d1018490,1
d13137946,18
d12614060,6
d694495,1
d7253712,1
d10254240,1
d11959983,1
d13187320,5
d5243286,2
d5122170,1
d13283799,6
d8482458,1
d4783400,1
d1328889,1
d2428921,1
d4581860,1
d11822115,2
d12941561,1
d5958006,1
d8460531,3
d10338097,3
d12212430,2
d5487276,2
d12871470,5
d5817006,1
d5487494,1
d13373138,83
d10252532,1
d13481992,7
d12353342,5
d5326187,4
d5768846,2
d5827146,2
d8811794,1
d8736862,1
d12848114,1
d6716427,1
d954447,1
d11711213,4
d11953811,81
d4104821,1
d8844334,2
d5823550,1
d12814073,5
d13196377,44
d13316524,35
d12944877,12
d1216006,1
d12152093,6
d13295123,33
d719802,2
d13000895,1
d12811450,3
d11887540,1
d6558095,1
d13239532,7
d12899021,3
d12950184,3
d5776508,2
d12484546,1
d4050485,8
d4148790,1
d4925397,1
d10025976,1
d12662545,1
d11619603,2
d740168,2
d7999004,4
d7124482,2
d5793552,1
d13421072,3
d5609015,2
d12711932,2
d12095037,1
d5814866,3
d5616126,1
d12143981,2
d5122055,1
d4043779,1
d11896158,1
d13154458,1
d10795652,2
d12321597,2
d12861342,2
d946740,3
d10151309,2
d5247599,1
d753452,1
d10729053,1
d9978314,1
d11932473,4
d11705249,3
d10364862,4
d10050679,1
d5646702,1
d12655941,1
d3721673,1
d12716346,4
d6022580,2
d9729069,2
d12946237,9
d10948259,1
d8494036,1
d10763125,3
d4723580,1
d3524644,1
d8154190,1
d8765683,1
d6405048,1
d12535596,10
d8380890,2
d10158548,1
d12932686,2
d3695854,1
d5851549,1
d8633173,1
d10480552,1
d13219471,11
d991134,1
d3859890,1
d12945924,143
d1043860,6
d11739342,5
d10211859,1
d13094735,9
d13198034,3
d12992754,2
d12925194,3
d1093033,1
d3953017,1
d12331250,1
d7713871,1
d12882677,4
d10617521,2
d13111916,1
d5518843,1
d12234830,19
d12227911,3
d13320816,9
d5812335,4
d4925580,1
d1035321,1
d13138821,17
d2615542,2
d5799795,1
d10467138,2
d1035339,1
d4563690,1
d13220144,6
d5790321,1
d10878576,9
d10874795,1
d13094987,3
d13168333,149
d12396410,2
d1184234,1
d4148444,1
d5260140,1
d7271978,1
d10261546,1
d7124269,1
d11955490,2
d10789547,1
d11808139,4
d1043426,1
d12015306,5
d4823751,1
d3645177,1
d10818106,1
d12924358,4
d807728,1
d8333877,1
d4912273,2
d12588631,3
d5864007,1
d8339828,2
d11927814,1
d13323744,5
d4767875,1
d12558218,2
d5506953,1
d12276854,1
d12817571,17
d12043663,5
d12893108,1
d10460928,1
d10813800,1
d12247125,20
d4924950,3
d12703747,4
d12875825,8
d5852490,3
d5600142,2
d12360172,3
d12360812,3
d7778326,1
d6452953,2
d12439175,5
d4354852,1
d1356203,1
d12794032,2
d7706329,1
d11305968,1
d12361770,8
d5220218,3
d11910487,1
d5886085,1
d5965945,1
d10543288,2
d12873363,2
d4163838,1
d12407008,7
d1044693,1
d12459712,3
d11802335,1
d12484619,2
d5487087,2
d9459226,1
d9700155,1
d12502443,1
d11759466,1
d12788091,3
d10459894,1
d8040778,1
d5977127,1
d7906576,1
d8366551,1
d12322249,3
d10789325,1
d2569745,1
d5966205,1
d3703031,1
d12843304,2
d3562694,1
d718141,1
d4768229,2
d7274046,3
d12184090,1
d8581478,1
d4139530,1
d13294491,95
d8726179,3
d12900540,1
d5285770,1
d7315051,1
d4770063,1
d12616118,7
d4924028,2
d12654085,1
d10675809,8
d13140520,1
d8768265,2
d12716391,2
d12322934,2
d11956001,3
d12653008,2
d5518528,5
d3682215,4
d1389703,1
d4769799,1
d2614499,1
d10229836,3
d5519956,1
d13382231,1
d12666409,2
d7098136,1
d10129421,2
d8602873,1
d12477194,5
d8645941,1
d3440658,1
d12908464,16
d5542177,3
d13199355,7
d13221327,3
d10901158,5
d7211116,4
d12794670,4
d8341386,1
d7942285,2
d4844397,1
d12321104,10
d12524614,4
d5981269,1
d11716788,2
d12994513,22
d8368897,1
d3640273,1
d10164114,1
d12903363,1
d10341702,1
d7993666,1
d12725263,3
d986415,1
d7778457,1
d8471317,2
d13116481,1
d12267836,1
d11802029,3
d7604639,1
d5609053,1
d5220177,1
d12358681,9
d6224318,1
d10373462,5
d8614707,1
d6966876,1
d12708096,31
d9752090,1
d10172709,4
d13275113,2
d11911978,4
d13227872,1
d12136417,1
d12992748,9
d10746833,1
d5956501,1
d12665982,8
d4770182,1
d5987965,1
d12029058,1
d12079908,7
d8672442,4
d5800746,1
d12946349,1
d986416,1
d801050,1
d10305224,1
d13170374,9
d5523470,1
d7599778,1
d12632861,3
d10667241,1
d810086,2
d8751574,2
d12492132,87
d4150098,1
d1341340,2
d13000302,8
d7124447,1
d6482168,1
d11809014,2
d12914836,5
d3680629,1
d13200350,2
d12378267,1
d8065349,1
d11828761,2
d12936715,10
d11857377,2
d10686601,4
d1062383,1
d7990861,3
d5487212,1
d4082285,1
d8737537,1
d4770161,1
d9718684,2
d12950404,3
d6784109,1
d718284,1
d10194262,1
d10042413,1
d12090531,1
d7819987,1
d9561755,4
d12332916,16
d7799870,1
d12864736,2
d12712237,5
d12062083,6
d1043391,1
d3525392,1
d9596193,1
d13150160,3
d10202388,1
d1324495,1
d12187488,4
d12367784,8
d10509697,3
d12192143,1
d13076032,1
d1034646,1
d7251286,1
d5609153,1
d4925425,1
d2011682,1
d12922003,12
d10547346,51
d13187843,14
d7660750,1
d12903253,7
d12899531,3
d7806860,1
d7902946,1
d5520987,1
d8762922,16
d8619243,5
d7706919,1
d7792232,1
d1014035,1
d12301154,56
d10883994,2
d4769815,3
d1044115,1
d4770123,1
d10836656,1
d7123206,1
d12840888,2
d12718161,12
d12988297,4
d7124282,1
d11916527,18
d2181493,1
d720554,1
d11688167,8
d12799981,8
d5016395,1
d13330252,1
d10425543,1
d11931353,1
d11933105,4
d7214111,1
d9846354,5
d12999410,5
d813998,1
d12480147,6
d12940168,15
d10491948,1
d4604132,1
d13116870,1
d13156718,5
d13323452,15
d7124084,1
d10353403,1
d2524716,1
d12320863,1
d12969140,1
d12171526,4
d12725758,2
d5824683,1
d12321261,2
d4793289,1
d12523722,4
d11637313,3
d13010268,29
d12331907,1
d10347318,1
d13129440,73
d10818781,2
d12922191,15
d13124708,86
d9768658,1
d13283517,1
d5976435,2
d10352428,1
d11707917,1
d11909308,3
d1044487,1
d10763041,3
d7285453,1
d13195842,1
d12128050,1
d5960726,1
d12207211,2
d7123315,2
d10620526,1
d4924859,2
d5772879,1
d12690988,1
d13236837,2
d11800123,2
d12947271,7
d5449144,1
d8139050,1
d12682405,1
d1204139,1
d11916033,2
d8461858,4
d5884411,1
d6623430,2
d743434,1
d12320523,1
d13418128,14
d12556899,1
d7260354,1
d2660122,2
d12882922,48
d12827824,11
d10624432,1
d5327378,1
d12269581,2
d13088142,3
d731913,1
d5487099,1
d13164271,9
d12730923,1
d10205607,1
d11872877,1
d990826,1
d12542756,7
d10292298,5
d12575347,1
d5981359,1
d775324,1
d5486305,1
d1092696,1
d7932605,1
d10335797,1
d8138537,1
d10309121,3
d10819872,1
d3543463,1
d4555128,2
d3199762,1
d13307636,9
d9585261,1
d2514039,1
d13120933,9
d5607454,10
d8684717,4
d12825960,6
d13298082,6
d5260522,1
d7624276,1
d6109156,1
d10027024,1
d10167781,1
d10522262,3
d5822036,1
d1323404,1
d6211432,1
d11891355,1
d11860019,1
d3649034,1
d12511629,2
d12509597,1
d13197586,8
d12369090,10
d12969456,60
d8812909,1
d13237265,98
d5869972,1
d12682765,1
d12919466,24
d3235738,1
d7171730,1
d3847920,1
d11994418,6
d12989277,7
d12670403,8
d5818673,3
d740221,1
d5122740,1
d11997673,4
d10033274,1
d7714322,1
d12594006,3
d8019062,1
d7691371,1
d9746758,1
d7677945,1
d3970480,3
d10511790,1
d12925825,2
d13341137,3
d13320037,6
d11724732,5
d13171763,9
d12596349,6
d4149825,1
d12872693,6
d9730692,1
d13293560,19
d5864138,2
d12603591,1
d13007244,1
d12556871,1
d12982760,1
d11629708,3
d4793477,1
d12276417,5
d4802075,1
d12979482,1
d5603239,5
d10779161,3
d12963527,7
d12841375,1
d8581449,1
d11621192,2
d9726428,1
d10348400,1
d12950745,6
d2012255,1
d11814231,2
d987833,1
d11860832,1
d1343445,1
d8790983,1
d5977039,1
d694430,1
d12865928,3
d12946158,1
d10505509,1
d13286191,68
d6610608,1
d5220228,1
d12882466,2
d12842994,2
d7306119,1
d8429034,1
d12925683,3
d13132392,4
d8727194,3
d10733907,1
d11793427,1
d13392707,5
d7060772,1
d12386328,1
d12711190,1
d7713936,1
d8354043,1
d11767612,1
d1335659,1
d12389547,1
d5824261,8
d13108357,4
d13506993,13
d3821682,1
d6890082,1
d4269349,1
d12831572,2
d8807347,1
d12807643,4
d5414926,2
d12844146,3
d9767595,1
d13237797,4
d12526149,1
d13307450,9
d10487971,2
d10833978,2
d12450497,2
d12257746,1
d13162263,1
d3442655,1
d7123564,1
d7123696,1
d12120287,3
d7246438,2
d13139838,14
d12029451,2
d964501,1
d13129944,17
d12517861,4
d12949527,4
d11869279,2
d12128270,2
d695146,1
d10077708,1
d13125118,8
d12208953,1
d9729939,1
d742687,1
d12994294,1
d2708995,1
d991628,1
d10201979,1
d13295116,1
d12323267,1
d5494183,1
d5525540,1
d12957841,4
d9788488,2
d13199409,4
d5959868,1
d13023866,19
d10003108,1
d11671091,3
d4778073,1
d7815272,1
d5770013,1
d13187514,4
d11925562,1
d10778626,1
d5816855,1
d10071176,2
d13164764,9
d10554458,5
d11825035,50
d12669552,1
d12911423,2
d3576260,1
d13094943,9
d8449603,1
d10618912,4
d12947060,25
d12632164,6
d8490027,1
d8828438,1
d879379,1
d7345199,1
d3535941,1
d7342569,1
d5523421,1
d12111087,3
d12962892,2
d7976846,1
d1044266,1
d12802661,3
d12362916,1
d12874956,8
d3956689,1
d777517,1
d7894408,3
d1081756,1
d13121923,3
d5507229,1
d13206499,4
d13200203,4
d12340677,5
d11741872,1
d12827433,1
d5980445,1
d7626464,1
d5122717,1
d4768212,1
d9823373,1
d11863778,3
d11841903,7
d13200450,4
d12883439,1
d12903965,3
d8841968,4
d12246247,7
d9604677,2
d11651830,1
d12946086,5
d13298844,17
d12826225,1
d3598499,1
d12320180,2
d12336951,1
d2517894,2
d1044100,1
d5828805,1
d12976363,19
d10319803,2
d12533808,4
d8763528,1
d7279200,1
d7887289,2
d9562457,1
d10026656,1
d12952495,8
d11538644,1
d13202060,2
d10733092,5
d12936195,2
d2084899,3
d13001052,12
d12156192,1
d8338619,2
d10624285,4
d7171660,1
d4268632,1
d7591721,1
d13220030,4
d12788115,3
d13232007,2
d13415332,1
d7277870,1
d10713299,8
d5791721,3
d12411211,19
d3975204,1
d12081488,2
d10396602,2
d5487134,2
d12728105,3
d7124116,5
d12682862,3
d13448140,7
d12512061,10
d1077859,1
d13185579,26
d12995096,5
d9873529,2
d1081031,1
d1337116,1
d5969402,3
d5796579,2
d9726072,1
d1381912,1
d12946830,2
d10470924,1
d12066507,1
d8338555,1
d12575804,3
d7124442,3
d12965944,7
d11828719,1
d11666944,3
d12881164,2
d12535728,5
d9735838,1
d11873792,2
d1039266,1
d5220150,1
d10058514,1
d12556427,1
d2569217,1
d8408390,1
d2393764,1
d6782102,1
d1317102,1
d5558249,2
d10153493,2
d12457922,4
d1035211,1
d10464588,2
d12992755,21
d3199333,1
d5877986,1
d8448848,1
d10145743,30
d12670446,1
d4768736,7
d1563747,1
d8796653,1
d10795713,1
d3964087,1
d5961438,1
d13344437,1
d12326267,1
d5818982,1
d13171768,10
d3843048,1
d2307872,2
d5018865,2
d5506152,1
d12911584,1
d7123804,1
d7209037,1
d10799309,1
d12800119,5
d7123681,1
d12556914,6
d12458656,8
d12897344,22
d1044849,1
d8490343,1
d12146470,10
d5815636,1
d12928932,11
d5823951,2
d7078322,1
d4801159,1
d8744858,7
d10820096,2
d2346485,1
d7210334,1
d7124068,1
d5870318,2
d12964475,1
d12932899,4
d6073421,1
d801581,1
d8712859,1
d1044990,1
d12017002,1
d4062112,1
d12143420,1
d12950931,20
d13206835,217
d12794736,9
d12351897,4
d11949038,4
d12106215,3
d11535662,2
d5443522,1
d10485659,2
d11822289,1
d12153665,1
d10379496,1
d1039192,1
d7352562,1
d695915,3
d10693216,15
d4835368,4
d5603997,1
d12535509,6
d13100274,37
d12188784,1
d13312169,3
d11695375,2
d7803007,1
d11814236,4
d12929803,9
d2652010,1
d13149443,4
d8562181,2
d7690640,1
d8297517,12
d2670859,1
d13388959,9
d1044949,1
d10332757,1
d12124975,2
d5796309,2
d8133272,1
d8341278,1
d12866345,30
d12636858,5
d11890705,2
d12879264,2
d11846928,1
d10229509,1
d13072321,1
d6762508,1
d13457625,1
d11888735,8
d13164602,6
d11913689,1
d715469,1
d10509783,1
d12950507,6
d10507284,1
d12998100,2
d8119726,2
d10520118,4
d12877197,1
d8274224,1
d12402367,3
d9778647,1
d12690564,6
d12880646,1
d13313833,15
d12996273,8
d4770037,2
d12273000,5
d4768133,1
d12300241,3
d12097020,1
d5122686,4
d12856591,11
d2616613,1
d959188,1
d13074002,3
d12100345,3
d7720040,1
d7652022,1
d12219387,2
d8068545,1
d10664008,2
d11544046,1
d11956134,1
d12870847,8
d12175056,5
d8339936,4
d12967849,7
d12952483,8
d11801250,2
d12691064,1255
d9711131,2
d4770266,2
d12129922,1
d12217591,12
d4283122,4
d13093490,1
d5778793,1
d5775967,1
d5122707,1
d10832499,1
d7953129,2
d5873511,2
d4476672,1
d4724873,1
d7938911,1
d12596770,4
d8425174,1
d8693312,1
d12709311,35
d8298503,2
d4288479,1
d11956707,2
d12657458,2
d11921386,1
d13130027,6
d10810171,2
d13275208,2
d12515422,2
d12789880,5
d4589114,1
d13143590,16
d3487002,1
d5220188,1
d2307390,1
d8154698,3
d12709307,19
d2250031,2
d10624889,1
d10388502,1
d5815452,1
d13205768,5
d7133705,1
d10357352,1
d4149308,1
d11872400,4
d12320872,3
d12907065,5
d6706687,1
d12435635,2
d5519500,1
d9746789,1
d4221365,1
d696297,1
d694814,1
d13326979,21
d8339589,1
d5870795,1
d4768263,1
d8362971,1
d12909690,4
d12255465,1
d5106382,1
d12953611,2
d5828140,1
d12936963,1
d11867679,6
d1044962,1
d12833748,3
d3332989,1
d13003250,1
d5771357,1
d13313752,32
d8703632,1
d7254739,1
d7382802,1
d10744724,2
d1408549,1
d5583309,4
d5581136,3
d12006243,1
d12187875,1
d10666998,1
d7123346,1
d940947,1
d13277444,9
d12697222,9
d5811130,1
d7676066,1
d10497174,1
d2703121,1
d12175666,1
d13094271,1
d12059608,4
d5852565,1
d12869413,1
d11626474,2
d13164810,3
d13197317,1
d5795153,2
d997823,2
d11966514,5
d12879684,14
d8029222,1
d11961472,9
d5956522,2
d10746369,1
d8390631,1
d12800464,6
d12898247,6
d10357544,2
d1319946,1
d13198239,6
d11502865,9
d6919510,1
d8604033,2
d8749016,1
d1357533,1
d11868454,1
d8262987,1
d10751303,1
d7083169,1
d12541465,7
d10462754,1
d1787835,1
d8685190,1
d12860819,3
d946775,1
d10148398,1
d697500,1
d743866,2
d12926423,2
d1035465,1
d5220185,1
d12937856,56
d10133942,3
d12513598,4
d12957208,1
d8762863,1
d12896616,7
d11705415,2
d11894290,1
d5122244,1
d5852779,2
d11777712,1
d12712759,1
d812144,1
d12910175,1
d12956476,5
d6153178,1
d8822412,3
d11833215,1
d4604142,5
d12180458,3
d12922691,1
d4769756,4
d12864902,1
d10767916,1
d11701818,4
d13322757,119
d10747371,1
d4913048,4
d5531945,1
d11855407,1
d12712586,2
d7706932,1
d13043231,23
d4039105,3
d8095702,1
d5936380,4
d5267530,1
d13009015,9
d13004500,6
d11837208,1
d8608082,1
d13323427,3
d13195827,1
d8610876,2
d12460100,4
d8118112,1
d4431365,1
d7124200,1
d8828412,2
d7124532,1
d2228677,1
d12950787,2
d11962282,2
d5852162,1
d8527701,3
d1330611,1
d5873310,3
d4756628,1
d10067438,3
d5426896,1
d12571184,5
d10390319,1
d8359606,1
d12871676,2
d9810491,1
d12624396,7
d743851,1
d5799567,1
d8411400,2
d13495398,3
d8795858,1
d13171238,24
d13290215,2
d12786547,482
d12435032,1
d8713169,1
d12731449,2
d10071725,2
d10911068,2
d12034951,2
d12714194,10
d5617536,1
d12248319,5
d13190651,23
d12595171,1
d10347526,1
d12317826,2
d13161118,2
d5823765,3
d5957383,1
d12839942,2
d12477034,5
d13001795,4
d10661927,6
d4293735,2
d12881093,12
d12284452,1
d6715817,1
d11929313,1
d12874438,3
d11876499,1
d4605073,1
d10372360,6
d13327886,11
d4058102,1
d5433577,1
d1420098,1
d12661577,1
d1328187,1
d958688,1
d7657936,1
d2014210,1
d7811548,2
d12638698,11
d12864798,5
d12967421,1
d7246429,2
d13289889,14
d13296673,1
d10483652,1
d3516208,1
d5826148,1
d3532804,1
d13224877,7
d10480192,3
d8842283,4
d11882314,2
d2311079,1
d8338515,1
d6585847,1
d1125188,1
d1018608,1
d4770118,1
d5936326,1
d12339205,66
d10020878,2
d5506626,1
d12660221,9
d12945991,1
d5443482,1
d12431270,2
d5863935,1
d12613463,1
d11850092,5
d13091113,3
d12532906,1
d13160451,1071
d3613475,1
d5958950,2
d4770268,1
d7622665,23
d1413421,2
d13283803,5
d5957522,1
d7788524,1
d13075641,1
d5522556,2
d10512217,1
d3560914,2
d2211730,1
d5860218,2
d12430695,1
d12872582,1
d4768148,3
d4912313,1
d11657387,2
d4114663,1
d11691267,2
d7124520,1
d12121063,1
d7622336,1
d12814377,1
d7124228,1
d13061627,25
d12904171,1
d11827955,13
d13122472,343
d9587011,2
d11734083,8
d12512213,2
d13197973,41
d7649071,3
d13331672,10
d10813618,7
d784855,1
d997436,1
d13273661,3
d7599095,1
d12546317,1
d12207476,1
d13183671,59
d3542011,1
d12447935,4
d5976508,2
d13100127,15
d1081683,1
d10802051,1
d8814420,1
d12977288,12
d793376,1
d12981295,3
d12182212,1
d7761701,1
d5550626,1
